01;Østfold;4182
02;Oslo;454
03;Akershus Oslo;4918
04;Hedemark;27397
05;Oppland;25192
06;Buskerud;14910
07;Vestfold;2224
08;Telemark;15299
09;Aust-Agder;9157
10;Vest-Agder;7276
11;Rogaland;9378
12;Hordaland;15460
14;Sogn og Fjordane;18623
15;Møre og Romsdal;15121
50;Trøndelag;41260
16;Sør-Trøndelag;18848
17;Nord-Trøndelag;22412
18;Nordland;38456
19;Troms;25877
20;Finnmark;48618
