0726;Brunlanes;x;1969;1987
0727;Hedrum;x;1969;1987
0728;Lardal;278;1969;2017
0729;Færder;98.95;2018;2050
0805;Porsgrunn;163.45;1969;2050
0806;Skien;778.20;1969;2050
0807;Notodden;917.66;1969;2050
0811;Siljan;212.96;1969;2050
0814;Bamble;303.36;1969;2050
0815;Kragerø;304.47;1969;2050
0817;Drangedal;1061.78;1969;2050
0819;Nome;428.68;1969;2050
0821;Bø;262.21;1969;2050
0822;Sauherad;319.53;1969;2050
0826;Tinn;2044.15;1969;2050
0827;Hjartdal;790.60;1969;2050
0828;Seljord;714.08;1969;2050
0829;Kviteseid;707.46;1969;2050
0830;Nissedal;904.18;1969;2050
0831;Fyresdal;1279.14;1969;2050
0833;Tokke;983.48;1969;2050
0834;Vinje;3104.84;1969;2050
0901;Risør;191.97;1969;2050
0903;Arendal;x;1969;1991
0904;Grimstad;302.59;1969;2050
0906;Arendal;269.21;1969;2050
0911;Gjerstad;321.14;1969;2050
0912;Vegårshei;354.65;1969;2050
0914;Tvedestrand;214.05;1969;2050
0918;Moland;x;1969;1991
0919;Froland;643.55;1969;2050
0920;x;x;1969;1991
0921;x;x;1969;1991
0922;x;x;1969;1991
0923;x;x;1969;1970
0924;Landvik;x;1969;1970
0926;Lillesand;189.43;1969;2050
0928;Birkenes;673.20;1969;2050
0929;Åmli;1129.61;1969;2050
0932;Mykland;x;1950;1966
0933;Herefoss;x;1950;1966
0935;Iveland;260.64;1969;2050
0937;Evje og Hornnes;549.23;1969;2050
0938;Bygland;1310.66;1969;2050
0940;Valle;1264.31;1969;2050
0941;Bykle;1466.13;1969;2050
1001;Kristiansand;275.87;1969;2050
1002;Mandal;221.83;1969;2050
1003;Farsund;261.55;1969;2050
1004;Flekkefjord;542.53;1969;2050
1014;Vennesla;383.48;1969;2050
1017;Songdalen;214.86;1969;2050
1018;Søgne;150.42;1969;2050
1021;Marnardal;394.01;1969;2050
1026;Åseral;886.52;1969;2050
1027;Audnedal;250.45;1969;2050
1029;Lindesnes;315.47;1969;2050
1032;Lyngdal;390.36;1969;2050
1034;Hægebostad;460.33 ;1969;2050
1037;Kvinesdal;962.22 ;1969;2050
1046;Sirdal;1553.83;1969;2050
1101;Eigersund;431.48;1969;2050
1102;Sandnes;303.04;1969;2050
1103;Stavanger;70.35;1969;2050
1106;Haugesund;71.68;1969;2050
1111;Sokndal;293.97;1969;2050
1112;Lund;407.42;1969;2050
1114;Bjerkreim;649.56;1969;2050
1119;Hå;256.99;1969;2050
1120;Klepp;112.49;1969;2050
1121;Time;182.19;1969;2050
1122;Gjesdal;616.98;1969;2050
1124;Sola;68.05;1969;2050
1127;Randaberg;23.71;1969;2050
1129;Forsand;779.06;1969;2050
1130;Strand;217.14;1969;2050
1133;Hjelmeland;1087.83;1969;2050
1134;Suldal;1735.88;1969;2050
1135;Sauda;545.33;1969;2050
1141;Finnøy;103.39;1969;2050
1142;Rennesøy;64.51;1969;2050
1144;Kvitsøy;5.29;1969;2050
1145;Bokn;46.17;1969;2050
1146;Tysvær;424.41;1969;2050
1149;Karmøy;228.95;1969;2050
1151;Utsira;5.32;1969;2050
1154;Vindafjord;x;1969;2005
1159;Ølen;x;2002;2005
1160;Vindafjord;619.59;2005;2050
1201;Bergen;463.70;1969;2050
