"region";"vekst";"Jordbruksareal 1969";"Jordbruksareal 1979";"Jordbruksareal 1989";"Jordbruksareal 1999";"Jordbruksareal 2000";"Jordbruksareal 2001";"Jordbruksareal 2002";"Jordbruksareal 2003";"Jordbruksareal 2004";"Jordbruksareal 2005";"Jordbruksareal 2006";"Jordbruksareal 2007";"Jordbruksareal 2008";"Jordbruksareal 2009";"Jordbruksareal 2010";"Jordbruksareal 2011";"Jordbruksareal 2012";"Jordbruksareal 2013";"Jordbruksareal 2014";"Jordbruksareal 2015";"Jordbruksareal 2016";"Jordbruksareal 2017"
"1149 Karmøy";"Jordbruksareal i drift";36430;39991;43698;50084;50373;51218;50767;49573;49669;50067;51026;52113;50188;49630;49677;50273;50811;50489;51107;51089;50528;50666
"1151 Utsira";"Jordbruksareal i drift";945;807;1069;1004;997;1011;1147;1153;1090;1090;806;1042;787;889;869;908;1001;1247;1152;1224;1256;1312
"1160 Vindafjord";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;79881;79465;76695;78367;78055;78280;78154;78608;78288;77989;77825;77425
"1201 Bergen";"Jordbruksareal i drift";0;35457;31431;25270;24263;22636;21524;20254;19256;18460;17801;17232;16709;16217;14722;14872;15132;15679;15134;15319;15715;15861
"1211 Etne";"Jordbruksareal i drift";25932;25500;25799;25537;25816;26200;26608;26835;28200;28362;28626;28091;26406;27331;27451;27804;27965;28234;28284;28467;28286;28569
"1216 Sveio";"Jordbruksareal i drift";16243;16766;19396;23670;24712;26140;27221;27115;27309;27424;27585;27540;27630;27467;27402;27764;27520;25274;25618;25773;26100;26533
"1219 Bømlo";"Jordbruksareal i drift";13552;11369;11893;13406;13568;13662;13183;13245;12433;12236;12223;12738;13150;12807;12451;12528;11369;11291;11494;12135;11536;11764
"1221 Stord";"Jordbruksareal i drift";7105;7018;7509;7987;8111;8045;7932;7892;7808;7806;7666;7825;7555;7613;7714;7479;7437;7130;7178;6998;6918;7227
"1222 Fitjar";"Jordbruksareal i drift";7088;6046;7484;7899;8086;8024;7901;8104;8025;7814;7946;7711;8061;7675;7624;7697;7983;7741;7719;7544;7422;7506
"1223 Tysnes";"Jordbruksareal i drift";14268;13839;12368;12424;12438;12318;12319;12862;12663;13071;12606;12534;12909;13020;13295;13358;12698;12439;10535;10344;10230;10490
"1224 Kvinnherad";"Jordbruksareal i drift";39482;37684;38667;40519;40912;41242;40951;40575;40425;40351;40752;40998;41402;40994;40686;41019;41075;40920;38934;39811;39432;40492
"1227 Jondal";"Jordbruksareal i drift";4726;4223;4650;4950;4835;4895;4669;4605;4484;4562;4568;4620;4467;4457;4478;4389;4344;4788;4784;4785;4731;4649
"1228 Odda";"Jordbruksareal i drift";5053;5102;5046;5027;5078;5093;5221;4933;4786;4806;4888;4851;4468;4347;4286;4361;4438;4351;4541;4636;4557;4739
"1231 Ullensvang";"Jordbruksareal i drift";0;15783;14048;13648;13804;13644;13778;13529;13563;13589;13539;13615;13325;13288;13236;13098;12964;12285;12437;12533;12588;12529
"1232 Eidfjord";"Jordbruksareal i drift";0;3140;3264;3074;2981;3012;2905;2818;2932;2736;2697;..;2917;2755;2750;2396;2342;2361;2416;2069;2588;2528
"1233 Ulvik";"Jordbruksareal i drift";6457;6562;6017;6180;6346;6511;6792;6539;6627;6767;6835;6010;6450;6327;6555;6751;6816;6885;6944;7013;7051;6739
"1234 Granvin";"Jordbruksareal i drift";5824;5259;4869;4813;4987;4976;4900;4887;4773;4618;4634;4842;4713;4800;4643;4671;5048;5241;5437;5528;5375;5382
"1235 Voss";"Jordbruksareal i drift";51447;55328;57366;60489;60386;60138;59405;59504;59635;58699;57655;57662;57277;57267;56297;55803;50314;50663;49785;50041;49566;50692
"1238 Kvam";"Jordbruksareal i drift";26001;24208;21937;23132;22945;22909;23125;23000;23035;22698;22523;22811;23109;22770;22537;22427;21748;20886;21919;22002;21777;22041
"1241 Fusa";"Jordbruksareal i drift";20862;18452;15946;16397;16463;16438;16313;16071;15544;15262;14788;14926;14608;14356;14201;13689;14244;14292;14143;13994;13778;14587
"1242 Samnanger";"Jordbruksareal i drift";7137;5904;4814;3755;3661;3547;3355;3156;2739;2562;2486;2662;2705;2376;2407;2614;2632;2457;2624;2741;2798;2747
"1243 Os (Hordaland)";"Jordbruksareal i drift";12528;12082;10769;10095;9843;9511;9363;9046;8455;8821;8705;8320;8045;8022;7803;7674;7280;6259;6333;6485;6668;6797
"1244 Austevoll";"Jordbruksareal i drift";8009;5543;5095;5363;5317;5064;4725;4140;3820;3517;3384;4003;4279;4069;3771;3891;3986;3244;3181;3315;3424;3542
"1245 Sund";"Jordbruksareal i drift";6395;5727;3752;2620;2511;2417;2380;1875;1820;1637;1533;1708;1967;1791;1765;..;..;1701;1741;1900;1917;1978
"1246 Fjell";"Jordbruksareal i drift";8219;7441;5856;5960;5841;5836;5603;5178;5000;4964;4783;4299;4159;3992;4022;3933;3964;3826;4013;3817;3539;3638
