"region";"vekst";"Jordbruksareal 1969";"Jordbruksareal 1979";"Jordbruksareal 1989";"Jordbruksareal 1999";"Jordbruksareal 2000";"Jordbruksareal 2001";"Jordbruksareal 2002";"Jordbruksareal 2003";"Jordbruksareal 2004";"Jordbruksareal 2005";"Jordbruksareal 2006";"Jordbruksareal 2007";"Jordbruksareal 2008";"Jordbruksareal 2009";"Jordbruksareal 2010";"Jordbruksareal 2011";"Jordbruksareal 2012";"Jordbruksareal 2013";"Jordbruksareal 2014";"Jordbruksareal 2015";"Jordbruksareal 2016";"Jordbruksareal 2017"
"5015 Ørland";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5016 Agdenes";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5017 Bjugn";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5018 Åfjord";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5019 Roan";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5020 Osen";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5021 Oppdal";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5022 Rennebu";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5023 Meldal";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5024 Orkdal";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5025 Røros";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5026 Holtålen";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5027 Midtre GauldaOppdall";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5028 Melhus";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5029 Skaun";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5030 Klæbu";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5031 Malvik";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5032 Selbu";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5033 Tydal";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5034 Meråker";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5035 Stjørdal";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5036 Frosta";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5037 Levanger";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5038 Verdal";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5039 Verran";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5040 Namdalseid";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5041 Snåase - Snåsa";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5042 Lierne";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5043 Raarvihke - Røyrvik";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5044 Namsskogan";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5045 Grong";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5046 Høylandet";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5047 Overhalla";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5048 Fosnes";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5049 Flatanger";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5050 Vikna";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5051 Nærøy";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5052 Leka";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5053 Inderøy";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5054 Indre Fosen";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1601 Trondheim (-2017)";"Jordbruksareal i drift";67956;66530;65488;64028;62564;62051;61257;61123;60025;59871;59970;58601;58154;58408;58342;57220;56641;56570;56604;55719;55456;54988
"1612 Hemne (-2017)";"Jordbruksareal i drift";17740;17095;19378;20166;20420;20793;20575;20866;20740;20650;20846;20719;20592;20541;19819;20190;20452;20279;20560;20770;20285;20730
"1613 Snillfjord (-2017)";"Jordbruksareal i drift";9447;9670;11843;13450;13445;13199;13130;13234;13360;13092;13009;13010;12780;12751;12413;12365;12591;12436;12406;12463;12451;12525
"1617 Hitra (-2017)";"Jordbruksareal i drift";16089;13553;15022;16348;15870;15869;15864;15708;15354;15559;14921;15209;14901;13734;13549;12715;12637;12539;12478;12751;12434;12607
"1620 Frøya (-2017)";"Jordbruksareal i drift";10663;6395;6362;7078;7371;7482;7286;6887;6999;7258;7692;7882;8037;7786;8030;8351;8221;6241;6474;7044;7312;7444
"1621 Ørland (-2017)";"Jordbruksareal i drift";34995;38289;38857;43086;43027;43175;43389;43701;43944;44334;44621;42885;42839;40306;40477;40246;40421;40176;40009;39712;39195;38588
"1622 Agdenes (-2017)";"Jordbruksareal i drift";16395;17806;18484;18169;17993;18050;17887;17273;17409;17523;17378;17491;17570;17328;16928;17138;17127;16851;16685;16888;16968;16861
"1624 Rissa (-2017)";"Jordbruksareal i drift";48366;51638;55759;56630;57421;56808;56843;56508;56755;56667;57728;57639;57569;57752;57053;55792;55907;56134;55896;55307;55138;55229
"1627 Bjugn (-2017)";"Jordbruksareal i drift";31715;33322;32802;34505;34496;34716;34429;33728;33361;34475;34686;35440;35422;33939;32091;32357;32226;31716;31426;31651;31720;31784
"1630 Åfjord (-2017)";"Jordbruksareal i drift";24928;26669;28818;29640;29722;29699;30427;29641;29594;29429;29732;29413;29407;29868;29702;27796;28110;27601;27557;27199;26872;27127
"1632 Roan (-2017)";"Jordbruksareal i drift";8757;8768;9821;10312;10220;9997;10108;10251;9807;9675;9794;9731;10057;9898;9925;10180;10296;9923;9801;9760;9923;10056
"1633 Osen (-2017)";"Jordbruksareal i drift";6960;7264;7829;8287;7895;7881;8223;7846;7901;8022;8011;7864;7903;7413;7413;7343;7049;7477;7677;7667;7913;8224
"1634 Oppdal (-2017)";"Jordbruksareal i drift";47607;42638;46554;61830;64339;66414;69398;70906;72260;74277;74093;75571;74906;67862;72489;73531;74185;74029;74112;74045;74326;75407
"1635 Rennebu (-2017)";"Jordbruksareal i drift";30355;26373;28415;34478;35095;35943;37612;39041;39141;39812;39537;39933;39696;39240;38922;37468;37547;38069;37669;37664;37824;37494
"1636 Meldal (-2017)";"Jordbruksareal i drift";24587;26773;29516;32116;32278;32270;31921;31420;32133;31967;30764;30858;31405;31177;31404;31493;31908;32039;31819;31871;31455;31712
"1638 Orkdal (-2017)";"Jordbruksareal i drift";44008;42983;43887;45368;46253;46275;45674;44352;45492;44051;44226;41332;41033;40686;40776;41336;40359;40177;39122;39054;38914;38979
"1640 Røros (-2017)";"Jordbruksareal i drift";20602;21385;25238;24275;23559;23063;22666;22568;22340;22620;22833;23171;22955;22996;23415;23084;23541;22979;23234;23027;23081;23260
"1644 Holtålen (-2017)";"Jordbruksareal i drift";15110;17146;17714;18851;18628;18398;17898;17654;17593;17711;17704;17443;15447;15738;15639;15683;15695;15885;16113;16301;16080;16300
"1648 Midtre Gauldal (-2017)";"Jordbruksareal i drift";41818;44692;48162;52694;54114;54450;54965;55281;56143;55941;54482;52108;52371;52214;52340;51772;51852;52308;53297;53298;53333;54113
"1653 Melhus (-2017)";"Jordbruksareal i drift";71492;70556;70915;72387;72003;72045;71587;70859;70565;70454;69900;69946;70687;70270;70987;70093;69652;69298;70011;69198;69276;69268
"1657 Skaun (-2017)";"Jordbruksareal i drift";33283;31224;33489;32598;32751;33458;32987;32502;31974;32350;32315;32155;31724;31627;29612;29743;29967;29935;30095;29027;28776;28998
"1662 Klæbu (-2017)";"Jordbruksareal i drift";10307;10584;10419;9897;10071;10169;10185;10378;10327;10344;10043;9902;9650;9474;9003;9006;9049;8526;8419;8469;8713;7860
"1663 Malvik (-2017)";"Jordbruksareal i drift";13050;13287;13792;15119;15141;15401;15394;15526;15816;15547;15492;15483;15021;14722;14597;14200;14110;13846;13797;14241;13902;13853
"1664 Selbu (-2017)";"Jordbruksareal i drift";30872;29963;33750;35044;35392;34932;35251;35312;35392;33280;34712;33561;34230;34190;33898;34128;34235;33716;34030;34265;33554;34107
"1665 Tydal (-2017)";"Jordbruksareal i drift";5536;5442;7001;8355;8368;8523;8680;8695;8817;8778;8844;8794;8318;8199;8407;8178;8124;8534;8552;8530;8564;8616
"1702 Steinkjer (-2017)";"Jordbruksareal i drift";135549;146807;156125;162589;163206;163833;164709;165270;164785;165235;165836;158271;158078;161225;159384;160376;160991;162454;161489;160700;161960;162587
"1703 Namsos (-2017)";"Jordbruksareal i drift";18758;18004;19597;19937;19755;19662;19159;19492;19386;19379;19147;19349;19141;18896;18169;17617;16895;16925;16293;16384;16262;16398
"1711 Meråker (-2017)";"Jordbruksareal i drift";8914;8776;9223;10511;10292;10294;10393;10190;10349;10446;10419;10644;10346;10183;10255;10272;9416;9667;9883;10018;9715;9703
"1714 Stjørdal (-2017)";"Jordbruksareal i drift";83377;86765;87993;89325;89468;90265;90583;89171;88991;88370;88367;88700;86566;86630;87224;87192;86721;86332;86306;85984;85574;85042
"1717 Frosta (-2017)";"Jordbruksareal i drift";23063;22490;23945;23736;23632;23547;23943;23118;23201;23102;23327;24084;23970;23094;22866;22714;22924;23486;23129;23184;23592;23492
"1718 Leksvik (-2017)";"Jordbruksareal i drift";16413;18200;19939;22645;22802;23017;22836;23304;23298;23204;23669;23858;23916;24330;24312;22239;22724;22791;22861;22694;22791;23173
"1719 Levanger (-2017)";"Jordbruksareal i drift";109513;119798;126703;133973;134850;135980;135510;136577;137133;137195;138342;138519;139580;138643;131901;131958;133363;133490;132693;133295;133479;133391
"1721 Verdal (-2017)";"Jordbruksareal i drift";75135;81161;84124;86907;87817;88153;88030;87654;87192;87446;87900;88184;84081;82933;83569;83700;83234;82792;83065;82191;83353;83651
"1724 Verran (-2017)";"Jordbruksareal i drift";8293;8103;9639;11445;11681;11582;11628;11583;11624;11473;11448;10729;10757;10602;11010;10754;10872;10815;10922;10778;10803;10882
"1725 Namdalseid (-2017)";"Jordbruksareal i drift";22130;24947;27695;28468;29294;29277;30619;31012;31756;32103;32710;31799;31778;31319;31222;32598;32608;32537;33054;33152;33380;33394
"1736 Snåase - Snåsa (-2017)";"Jordbruksareal i drift";26643;31345;35384;36807;36374;36528;36813;36680;36740;36438;36705;36080;36168;36445;36710;36687;37236;37219;37248;37525;37651;37476
"1738 Lierne (-2017)";"Jordbruksareal i drift";12583;12585;13809;15579;15852;15429;15968;15514;15379;15016;15407;15333;15266;14764;15384;15285;14083;14183;14033;14393;14399;14327
"1739 Raarvihke - Røyrvik (-2017)";"Jordbruksareal i drift";2695;3009;4013;4941;5339;5421;5263;4820;4835;4511;4866;4661;4541;4375;3933;4082;4019;4016;3980;4176;4169;3763
"1740 Namsskogan (-2017)";"Jordbruksareal i drift";3642;4584;5985;6929;7203;7719;7801;7983;7928;7912;7547;7546;7314;7377;7301;7835;7392;7457;7526;7505;7484;7364
"1742 Grong (-2017)";"Jordbruksareal i drift";17813;19299;19471;21010;21454;21899;21532;21419;21429;21452;21007;21616;20833;20840;20388;20446;20109;20388;20183;20415;20044;19629
"1743 Høylandet (-2017)";"Jordbruksareal i drift";14862;16770;18082;18599;18545;18550;18128;18392;18503;18492;18733;18585;17828;17853;18424;18746;18858;18918;19222;19438;19551;20238
"1744 Overhalla (-2017)";"Jordbruksareal i drift";36265;43975;43805;44627;43685;43982;44000;43744;43608;43856;44624;44744;45108;44832;43253;43432;43926;44159;44638;44809;44622;44405
"1748 Fosnes (-2017)";"Jordbruksareal i drift";7286;8714;9901;10091;10182;10442;10263;10459;10477;10275;10558;10503;9688;9504;9612;8709;8396;8327;8601;8590;8559;8531
"1749 Flatanger (-2017)";"Jordbruksareal i drift";8172;8337;8793;9454;9489;9423;9401;9469;9312;9256;9325;9237;9621;9517;9574;8673;8844;8712;8938;9023;8676;8857
"1750 Vikna (-2017)";"Jordbruksareal i drift";13292;12484;13306;15279;15220;15397;15521;15285;15836;16481;16664;16983;17118;17249;17250;16748;17601;15197;15386;14901;14470;15029
"1751 Nærøy (-2017)";"Jordbruksareal i drift";34394;32819;36340;40644;40913;41044;41317;41626;41689;41604;41685;42180;42190;41200;40188;38109;37526;36865;36601;36584;36623;36342
"1755 Leka (-2017)";"Jordbruksareal i drift";7781;6786;7991;9813;10168;10362;10205;10384;10380;10567;10563;10418;10378;9658;9560;9656;9671;9909;9848;9803;9703;9632
"1756 Inderøy (-2017)";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61618;61693;61561;61557;62210;61767
"1804 Bodø";"Jordbruksareal i drift";25038;17500;17616;20107;20270;20355;20631;20451;21947;28012;28115;27717;28255;27375;26387;25233;24987;25141;25549;25198;25121;24827
"1805 Narvik";"Jordbruksareal i drift";0;5842;5494;4813;4795;4398;4403;4346;4384;4478;4354;4288;4128;4101;4122;4007;3860;3807;3844;3686;3563;3574
"1811 Bindal";"Jordbruksareal i drift";13896;12991;12323;12415;12698;12844;12919;12783;12304;12400;12577;12714;12946;12754;12526;12534;11338;10765;10684;10656;10652;10419
"1812 Sømna";"Jordbruksareal i drift";0;25462;28064;29826;29931;30178;32180;30616;31112;31095;31717;32286;29739;30339;30067;30336;30219;29911;29928;30038;30201;30084
"1813 Brønnøy";"Jordbruksareal i drift";0;25875;28086;29705;31164;31505;31398;30854;31562;31152;31790;31867;30746;31259;31719;31895;31666;31501;31719;31900;31838;32021
"1815 Vega";"Jordbruksareal i drift";11291;11274;13531;15602;15976;16271;16802;17401;17462;17709;17854;17440;15620;15613;15547;15370;15307;15283;15137;15038;15101;15086
"1816 Vevelstad";"Jordbruksareal i drift";5760;5154;6350;7207;7391;7697;8502;8797;9622;9896;10034;10604;10909;10980;10329;10506;10585;10722;10772;10304;10184;8370
"1818 Herøy (Nordland)";"Jordbruksareal i drift";3913;2895;3541;5185;5262;5341;6586;6462;6490;6499;6251;6007;5383;5686;5798;5737;5819;5780;6083;6494;6551;6713
"1820 Alstahaug";"Jordbruksareal i drift";21824;19699;23794;24036;24695;25635;25761;26865;27169;26707;27084;26284;25090;25805;25988;26143;25919;25038;24856;24826;24841;25252
"1822 Leirfjord";"Jordbruksareal i drift";19690;18299;18424;20752;21564;21454;21682;21650;21776;21864;22315;22793;23029;22970;21228;21570;21389;21611;21617;21865;22203;22299
"1824 Vefsn";"Jordbruksareal i drift";30558;30811;30108;30255;29918;30306;30549;30598;29392;29614;29015;29198;29077;28446;26833;27040;27238;27515;27260;27668;27449;27548
"1825 Grane";"Jordbruksareal i drift";6160;6471;7854;7958;7872;8152;8135;8407;8520;8745;8735;9908;8818;8673;8655;8766;8953;8839;8873;8899;9006;9372
"1826 Hattfjelldal";"Jordbruksareal i drift";14498;12977;15840;17338;17613;17773;18061;18144;17837;17800;17915;17752;17672;17662;17475;17627;17675;17691;17783;17852;18087;18177
"1827 Dønna";"Jordbruksareal i drift";13745;12479;14877;17558;17955;18192;17815;17628;17624;17470;17560;17141;14092;14460;14572;15046;15632;15591;15936;16235;16332;17251
"1828 Nesna";"Jordbruksareal i drift";12323;11162;13183;14500;14899;15224;15135;15203;15804;15856;15166;15117;13950;12923;12887;12546;12348;12236;12184;12382;12450;12549
"1832 Hemnes";"Jordbruksareal i drift";18038;19457;20488;21921;21918;22074;22387;23160;22641;22974;23172;23587;21299;20954;21306;21323;21735;21270;21539;21624;21391;21341
"1833 Rana";"Jordbruksareal i drift";26426;23903;25536;27774;27146;27041;26694;25596;25361;24747;24065;24226;23482;23813;24022;24019;24011;23615;23679;23379;23074;23672
"1834 Lurøy";"Jordbruksareal i drift";11507;7259;6790;6849;7633;7849;8375;8468;8355;8644;9046;9194;9406;8667;8262;8532;8744;8773;8755;8591;8507;8256
"1835 Træna";"Jordbruksareal i drift";524;0;193;186;186;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"1836 Rødøy";"Jordbruksareal i drift";9231;7211;7121;8355;8649;8791;8844;9474;9081;9000;9496;9691;8451;8945;7320;7445;7439;7400;7414;7436;7427;7866
"1837 Meløy";"Jordbruksareal i drift";16141;13373;12894;17174;17641;18213;18275;18634;18551;18348;18399;18415;18089;15938;15607;15842;16117;16056;16042;15833;15757;14940
"1838 Gildeskål";"Jordbruksareal i drift";13963;8285;7245;10992;11260;11392;11594;11386;11352;10654;10596;10778;10875;10654;10243;6978;6856;6717;6855;6788;6449;7006
"1839 Beiarn";"Jordbruksareal i drift";14139;11684;10442;12133;12565;12763;13040;13153;12821;12713;12921;12903;12415;12388;12018;11830;11736;10477;10312;10133;10103;10129
"1840 Saltdal";"Jordbruksareal i drift";15186;11596;10551;9508;9599;9474;9669;9431;9241;9407;9439;9631;9888;10023;10549;9887;9883;10149;10211;10240;10245;10766
"1841 Fauske - Fuosko";"Jordbruksareal i drift";17231;15242;15013;15609;15715;15991;16369;16215;16068;15876;15927;15722;15715;14980;15036;14336;14325;14164;14494;14565;14384;14593
"1845 Sørfold";"Jordbruksareal i drift";8718;5721;3241;3565;3644;3697;3593;3415;3433;3276;3022;2994;3023;2827;2761;2478;2411;2192;2123;2062;2267;2382
"1848 Steigen";"Jordbruksareal i drift";27308;22864;24882;29505;29746;29875;29525;30133;29637;29402;29240;29134;29710;29601;28142;26191;25194;25384;25276;24773;24368;24176
"1849 Hamarøy - Hábmer";"Jordbruksareal i drift";9055;5955;4843;6625;6700;6382;6505;6448;6724;6559;6526;6794;6412;6425;6635;7170;6779;6683;6432;6172;5993;6203
"1850 Divtasvuodna - Tysfjord";"Jordbruksareal i drift";3910;1650;1394;2053;2178;2226;2336;2319;2298;2061;2024;2294;2300;2276;2071;2185;1857;1715;1332;1390;1362;1411
"1851 Lødingen";"Jordbruksareal i drift";5074;3426;3310;4191;4176;4303;4333;4233;4523;4057;4155;4266;4121;4074;4231;4220;4052;4150;4048;4087;4138;4085
"1852 Tjeldsund";"Jordbruksareal i drift";5863;4446;3185;4034;3986;3920;4063;4201;4310;4342;3978;4176;4207;4224;4267;4319;4308;4276;4251;4214;4028;4052
"1853 Evenes";"Jordbruksareal i drift";9584;6562;6170;6783;6804;6587;6672;6640;6744;6771;6694;6860;6500;6429;6286;6066;5986;5942;6009;5949;6172;6798
"1854 Ballangen";"Jordbruksareal i drift";11681;7653;8537;8800;9231;9370;9786;9212;9021;9062;8846;8915;8743;9241;9179;9643;9865;9791;9876;9502;9320;9349
"1856 Røst";"Jordbruksareal i drift";1618;611;496;1239;1230;1297;1023;964;871;825;967;1807;..;..;..;..;..;..;..;..;..;..
"1857 Værøy";"Jordbruksareal i drift";844;978;449;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1859 Flakstad";"Jordbruksareal i drift";0;3818;3655;4190;3876;3863;4294;4503;4149;4504;4478;4496;4157;3875;3728;3607;3711;3682;3871;3742;3760;3783
"1860 Vestvågøy";"Jordbruksareal i drift";43526;34445;29629;34489;34295;34236;34602;34620;34586;34802;35699;35953;34832;33011;32439;31964;32053;31549;31782;31756;31238;31297
"1865 Vågan";"Jordbruksareal i drift";12493;8282;8757;10046;9896;9730;9810;9557;9345;9166;9243;9238;8547;8608;9050;8667;8723;8104;8071;8109;8314;8032
"1866 Hadsel";"Jordbruksareal i drift";19860;16881;15632;18197;18370;18353;17908;18112;17828;17813;19031;19103;18979;18940;16468;16991;18052;18867;18888;19345;19493;19580
"1867 Bø (Nordland)";"Jordbruksareal i drift";14520;9990;9767;10989;10833;11327;11160;11500;11629;11604;11623;12635;13006;13356;12642;12521;12471;12527;11929;11461;11408;11748
"1868 Øksnes";"Jordbruksareal i drift";8179;5090;5705;5184;5361;5251;5378;5335;5140;5528;5876;5931;6894;6288;5484;5630;5647;4897;4820;4842;5214;4857
"1870 Sortland - Suortá";"Jordbruksareal i drift";18056;13188;14708;17805;19470;20430;20882;21227;21400;21547;22155;22336;22296;22666;20862;21674;21238;21692;21700;21099;20737;21751
"1871 Andøy";"Jordbruksareal i drift";20462;17235;14570;16762;17045;17107;17196;16985;17503;17669;17504;17196;17524;16921;16485;16400;14856;14661;14457;15027;15232;15335
"1874 Moskenes";"Jordbruksareal i drift";0;376;233;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0
"1902 Tromsø";"Jordbruksareal i drift";33707;26070;21921;21334;21052;21063;21110;20592;20045;19111;18825;18696;17944;18108;17849;17008;17150;17028;16556;16641;16684;16514
"1903 Harstad - Hárstták";"Jordbruksareal i drift";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20743;20422;20173;20408;21017
"1911 Kvæfjord";"Jordbruksareal i drift";14233;11388;12518;14323;12983;12842;12604;12726;12550;12455;12455;12294;11770;11761;11896;11811;11833;11765;11849;11908;12045;12743
"1913 Skånland";"Jordbruksareal i drift";17357;10959;6553;10106;10008;9784;9782;9711;9756;9763;9645;9626;9402;9100;9117;8596;8646;7995;7990;7837;7535;7335
"1917 Ibestad";"Jordbruksareal i drift";11790;6174;4885;6039;5856;6172;5933;6063;6057;5810;5839;5626;5750;5771;6049;5842;5071;5483;5652;5646;5732;5961
"1919 Gratangen";"Jordbruksareal i drift";4826;2978;2502;3167;3270;3378;3340;3306;3333;3461;3465;3486;3447;3291;3296;3430;3271;3233;3177;3195;3242;3367
"1920 Loabák - Lavangen";"Jordbruksareal i drift";0;3297;2514;3443;3387;3406;3387;3227;3104;3106;3161;3175;3114;3230;2877;2873;2890;2819;2758;3141;3372;3520
"1922 Bardu";"Jordbruksareal i drift";12774;12221;11376;13071;12876;12739;12709;12964;12971;13069;13245;13354;13196;13160;13441;12782;13037;13226;13205;13183;13028;12797
"1923 Salangen";"Jordbruksareal i drift";0;8230;8758;8757;8881;8930;8750;8701;8517;8438;8382;8357;8203;8162;7961;7787;7759;7414;6771;6860;6654;6772
"1924 Målselv";"Jordbruksareal i drift";30702;26105;29622;30300;29472;29294;28341;28518;28550;27909;29027;29990;29876;29818;30060;29185;23516;27071;26693;29887;27496;27246
"1925 Sørreisa";"Jordbruksareal i drift";12160;7924;4767;5386;5170;4714;5132;5190;5122;4833;5068;4809;4676;4384;4624;4807;4676;4580;5071;5008;5159;5428
"1926 Dyrøy";"Jordbruksareal i drift";9640;5887;5037;6352;6224;5851;5947;5976;6169;5873;5777;5843;5944;5922;5084;5127;5059;4952;4569;4531;4488;4662
"1927 Tranøy";"Jordbruksareal i drift";9795;6427;4747;5711;5501;6057;5740;5531;4728;4760;4596;4526;4839;5049;3849;5260;4911;3857;3790;3724;3672;4545
"1928 Torsken";"Jordbruksareal i drift";815;321;349;..;..;..;..;..;..;541;505;488;502;482;482;482;472;485;443;434;421;353
"1929 Berg";"Jordbruksareal i drift";891;587;112;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0
"1931 Lenvik";"Jordbruksareal i drift";25497;19472;12756;15379;16300;16510;16736;16583;16782;16168;16508;16329;15709;16178;15870;15666;14956;14859;14626;13500;12953;14001
"1933 Balsfjord";"Jordbruksareal i drift";53424;45818;45182;49056;48930;48518;47750;47668;46813;46658;46997;46334;45114;40943;41654;40333;39841;40353;40154;40100;39926;39724
"1936 Karlsøy";"Jordbruksareal i drift";7494;5663;4770;3553;3554;3668;3613;3499;3350;3546;3530;3685;3697;3723;3872;3815;3892;3794;3648;3713;3819;3854
"1938 Lyngen";"Jordbruksareal i drift";14514;10692;10977;13798;14184;14470;14515;14695;15008;15093;15145;15394;15256;15738;15459;15305;14720;15232;14410;15219;14966;14839
"1939 Storfjord - Omasvuotna - Omasvuono";"Jordbruksareal i drift";7285;5085;4793;6185;6625;6717;6803;6668;6935;6758;6523;6285;6730;6073;6208;5797;5842;5288;5050;4861;4792;4609
"1940 Gáivuotna - Kåfjord - Kaivuono";"Jordbruksareal i drift";11459;10029;8714;11875;11957;12065;12077;12208;12100;11937;11580;11679;11337;11292;11491;10853;10499;9852;10067;10000;10332;10399
"1941 Skjervøy";"Jordbruksareal i drift";9536;1817;986;707;707;704;728;836;642;646;644;629;725;754;829;812;853;885;847;867;857;861
"1942 Nordreisa";"Jordbruksareal i drift";10412;12420;14474;17472;18299;18656;19180;18523;18154;18156;18501;18235;18215;18172;17983;16924;17280;17424;16986;17166;17049;16847
"1943 Kvænangen";"Jordbruksareal i drift";6937;4110;4793;4816;4730;4448;4127;4031;3604;3665;3402;3162;3218;3388;3167;3071;2848;2731;2499;2115;2244;2261
"2002 Vardø";"Jordbruksareal i drift";1038;1124;894;1082;1168;1171;1199;1131;1226;1260;1248;1001;1022;1042;1192;1380;1372;1419;1535;1365;1365;1432
"2003 Vadsø";"Jordbruksareal i drift";9544;4949;5855;8087;8184;7848;6623;6724;6711;6850;7120;7171;6571;6150;6439;6749;7341;6336;7525;6672;6977;6444
"2004 Hammerfest";"Jordbruksareal i drift";0;0;0;1058;1088;1135;886;866;957;846;941;981;1045;981;1180;1207;1055;1183;1157;1178;1178;755
"2011 Guovdageaidnu - Kautokeino";"Jordbruksareal i drift";2725;3082;3829;3494;3521;3541;3517;3390;3161;3179;3060;2866;2899;2843;2877;2788;2554;2283;2382;2228;2411;2275
"2012 Alta";"Jordbruksareal i drift";23447;20254;24205;30326;31794;31598;31807;31799;31077;31565;31696;31602;29383;28937;25056;25225;24807;24851;24846;24771;24691;24496
"2014 Loppa";"Jordbruksareal i drift";3297;1712;931;560;552;447;339;..;..;..;..;..;..;..;0;0;0;0;0;0;0;..
"2015 Hasvik";"Jordbruksareal i drift";788;393;215;145;95;95;0;0;..;..;..;..;..;..;..;..;..;..;..;0;0;0
