region;vekst;1969;1979;1989;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
0101;Halden;57817;59571;61661;61029;60867;61952;61878;61617;62019;61743;61720;62470;61604;62332;63111;62529;61079;61504;61453;61247;61075;60442;59348
0102;Sarpsborg;NULL;521;344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0103;Fredrikstad;8341;7739;7292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0104;Moss;6852;6841;6590;6495;5796;5501;5658;5469;5398;5732;5594;5345;5154;5154;5251;5135;5027;4154;3928;3829;3803;3592;3280
0105;Sarpsborg;0;0;0;80973;80885;81601;80574;80664;80266;80106;80736;80422;78791;77031;77600;76098;77434;76596;75461;75818;76201;75626;75682
0106;Fredrikstad;0;0;0;69608;69414;69634;70171;68912;69242;68180;66222;66771;66556;65689;66331;65794;65813;64787;64148;63832;63447;62909;62608
0111;Hvaler;2671;3521;3697;3661;3657;3469;3467;3351;3275;3387;3397;3474;3576;3510;3577;3541;3484;3424;3421;3441;3314;3375;3299
0113;Borge;25180;25938;25560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0114;Varteig;11070;11845;11230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0115;Skjeberg;45916;46227;45330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0116;Berg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0117;Idd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0118;Aremark;15768;19983;19692;20469;20042;20021;19633;19434;19337;19318;19183;19584;19523;19423;19502;19604;19627;18873;19091;19397;19364;19012;18737
0119;Marker;35525;37435;39349;40902;41098;40704;40571;40476;38912;39808;40592;40350;40285;40182;39307;38196;38095;38308;38592;39326;39441;39190;39148
0121;R�mskog;2566;2785;2872;3138;3007;2962;3052;2923;3040;3014;3040;3106;3032;3034;3077;2972;2962;2992;2938;2935;2952;2409;2707
0122;Tr�gstad;59942;64308;65632;66297;67204;70195;69171;68004;68704;67951;69598;69608;65325;64243;63809;65064;64434;64449;64044;64005;66241;66056;65293
0123;Spydeberg;37067;37864;38836;37763;37631;39314;38012;37166;37662;37187;36126;37538;35616;36056;36346;36104;36448;36527;36529;37026;39130;39006;39681
0124;Askim;28563;27827;29223;26584;26429;26895;26510;26627;26168;26126;25922;25350;24626;23256;23504;23923;23743;23534;24254;24408;24407;25832;24542
0125;Eidsberg;73372;74046;76218;77373;76345;77481;78326;76279;76286;75359;76006;75379;73787;74176;74386;73919;72810;72195;71995;70758;70316;71044;71855
0127;Skiptvet;32907;32806;33015;36270;35594;35139;35068;34582;34090;34683;34524;34083;34418;34417;31930;31845;30985;30406;30665;30045;30030;30711;30462
0128;Rakkestad;101486;108858;110988;113262;113513;115939;116842;115823;116635;116642;115402;117179;114918;111776;110749;110789;111767;112258;113062;114355;113058;111237;111476
0130;Tune;21306;20465;21383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0131;Rolvs�y;8773;8679;8499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0133;Kr�ker�y;NULL;1629;1741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0134;Ons�y;24708;26057;26986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0135;R�de;34122;35829;35590;34952;34666;35187;34786;34412;34508;34211;33745;33498;32585;32516;32246;32119;32073;32172;32416;32789;32771;32886;32586
0136;Rygge;28264;28463;29281;26840;27257;26904;26292;26120;26173;26203;26139;26503;26239;26246;26780;26188;26049;25277;26256;26042;27141;27043;24960
0137;V�ler;34472;35755;35509;35694;35869;35536;34801;34246;34594;35336;34747;33355;33729;33222;33081;32892;32951;33715;32806;34089;34098;33461;32672
0138;Hob�l;28040;29579;30526;30030;30278;30713;31758;31090;30745;30571;29668;30091;30053;30547;30142;30107;29924;29298;28855;27491;27862;28211;27608
0211;Vestby;34683;35672;36315;38070;38628;39645;39627;40574;40197;39887;39489;38483;37991;37254;37378;37345;36569;36454;35464;34849;34426;33144;34646
0213;Ski;36736;38432;38582;34223;34148;34086;34672;32761;32891;33334;33450;33533;33439;33651;36208;36346;36482;35308;36384;37445;37275;36510;36758
0214;�s;37643;38933;39685;39372;39621;40335;39920;39777;40284;40771;41236;40596;40343;40127;40777;40796;40332;40313;39922;39215;40013;39538;39084
0215;Frogn;15683;16520;16489;15004;14548;13495;13518;12268;12010;12600;11717;11890;11444;11154;11383;11147;11929;11541;12243;12574;12508;12431;12296
0216;Nesodden;4600;5049;5198;5681;5471;5529;5499;5551;5340;5290;5235;5101;5162;5329;5381;5437;5437;5459;5451;5490;NULL;NULL;5220
0217;Oppeg�rd;1463;1638;1295;1564;1437;1525;1525;846;779;405;560;552;550;715;688;685;950;960;960;529;NULL;NULL;472
0219;B�rum;21201;19455;17264;17065;16030;14903;15173;14650;14854;14887;14319;14317;14232;14824;14699;14485;14368;14025;13940;13506;13261;13333;13457
0220;Asker;13136;12919;11480;10811;10522;10465;9155;8462;8599;8515;8588;8475;8397;8495;8098;7707;7738;7603;7564;7436;7429;7086;6514
0221;Aurskog-H�land;89319;94850;99077;99747;99946;101413;102182;101963;102402;103054;101552;102448;102746;100493;98954;95058;95155;95141;93260;93087;91373;91351;91167
0226;S�rum;59618;66773;71636;74062;73811;73948;74053;73161;73742;75071;73536;71573;71420;73705;72669;73286;72749;72790;75959;76278;74577;74009;72618
0227;Fet;25935;24651;26185;27107;27041;26658;25791;25551;25624;26097;25970;25836;25844;25100;25771;25547;26323;25782;24532;24617;22299;22303;22389
0228;R�lingen;5659;6061;5236;5751;5845;5609;5473;5732;5847;5809;5916;6160;5795;5955;5776;5797;5988;5794;5897;5872;5891;6053;6146
0229;Enebakk;28175;28809;29906;29753;29170;29795;29397;29145;29119;28924;29377;28610;28766;28215;27633;27903;27540;26927;27215;27163;26267;26013;25604
0230;L�renskog;6916;7335;6984;5861;5875;6142;6218;6171;5578;5649;5514;5432;5378;5513;5383;5112;5230;4918;5294;5184;5187;4992;5121
0231;Skedsmo;19783;20265;21266;22983;22230;22944;21901;21739;21666;21240;21014;20902;20223;19999;19916;19717;18922;18713;18507;18323;18239;18105;17964
0233;Nittedal;17453;17813;17777;15026;15102;15299;15161;14856;14253;14373;14120;14502;14078;14323;14740;14886;15651;15237;14727;14665;14666;13440;13776
0234;Gjerdrum;22350;25443;26183;25983;25953;26296;26547;25970;25857;25939;26008;25815;25724;25185;24392;24256;24661;24684;25210;25183;24137;25276;24560
0235;Ullensaker;76694;83997;90592;88407;88046;89071;87771;88022;87756;87793;88005;88100;88208;85400;85453;85915;85734;84677;84151;83535;82945;82398;82519
0236;Nes;115284;134792;138487;140301;140185;139468;138339;139003;138168;136574;136635;137112;138317;134171;132614;133083;130990;132659;133937;133069;133893;133065;131332
0237;Eidsvoll;53707;52088;50644;51871;51722;52207;51902;51005;51813;51765;51938;51016;51516;51032;50419;50881;51269;51167;50481;49833;49207;49877;48787
0238;Nannestad;45822;49857;49739;50955;50888;51370;51868;51923;52217;51588;51434;51258;49441;48742;48576;48241;48220;47889;47525;47780;47820;47552;47785
0239;Hurdal;10429;8932;7695;7255;7450;7203;7131;7237;7172;7021;6611;6679;6778;6917;7039;7062;7098;7150;7583;7625;7548;6917;7066
0301;Oslo;11196;9783;8389;7229;7382;6959;7833;7219;7462;5713;5581;7823;8041;8140;8165;8144;8282;8030;7522;7585;7588;7327;7365
0401;Hamar;762;430;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0402;Kongsvinger;49125;52217;53239;52595;52446;51811;50731;49883;50236;48042;47056;47446;46470;46151;45943;46088;46968;47401;48819;48849;48996;48055;48284
0403;Hamar;0;0;0;47369;47049;46702;47160;44985;44882;43223;43423;43410;43806;44190;45226;45763;45852;45148;45448;44583;45190;44256;44595
0412;Ringsaker;182377;176998;185009;182469;183820;183399;185478;183072;183152;179769;176545;177075;177687;178608;177032;177225;178116;177970;179786;179396;181551;182958;184431
0414;Vang;44874;44241;44544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0415;L�ten;43193;43587;43991;47641;47833;48418;47984;46559;46393;46167;46515;46657;46704;45467;44167;43266;42738;42580;42850;43094;42955;43378;43178
0417;Stange;102490;100434;100981;100675;100852;100735;99797;100453;100307;100467;97079;96427;95937;95704;94939;94591;93854;92376;93470;92849;92916;92933;92461
0418;Nord-Odal;23819;24427;25515;25694;25423;25468;25114;25259;24899;24494;23207;23448;23979;24556;26048;24470;23339;22921;22950;22828;22769;22517;22772
0419;S�r-Odal;51206;58906;63281;64390;64253;64561;65740;65314;64921;64898;63920;63756;63788;63376;61713;61927;60681;59054;59644;60439;60196;60535;60921
